Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
PLM003;PLASMA MANUAL 80 AMPERES POWERMAX 1250;1000;E;NÍVEL 1 - FÁCIL;PB2-81240;M;1000-FABSL-SLEST;FÁBRICA UENSILOS SL - ESTAMPARIA;MONT;1010;PLM003;PLM
PLM004;PLASMA MANUAL 80 AMPERES POWERMAX 1250;1000;F;NÍVEL 1 - FÁCIL;PB2-81150;M;1000-FABCE-MGSOL;FÁBRICA CENTRAL MG - SOLDA;MONT;1010;;
PLM005;PLASMA MANUAL LINCON PRO CUT40;1000;E;NÍVEL 1 - FÁCIL;PB2-82130;M;1000-FABCE-MANUT;FÁBRICA CENTRAL MANUTENÇÃO INDUSTRIAL;MONT;1010;;
PLT001;TRANSPALETEIRA;1000;B;;PB2-81650;M;1000-FABCE-ELMON;FÁBRICA CENTRAL EL MONTAGEM;MONT;1010;;
PLT002;TRANSPALETEIRA;1000;B;;PB2-81640;M;1000-FABCE-ELSOL;FÁBRICA CENTRAL EL SOLDA;MONT;1010;;
PLT003;TRANSPALETEIRA ELETRICA;1000;C;;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLT004;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLT005;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLT006;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLT007;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
